название;href
05.ru;/store/05-ru/
1 original;/store/1st-original-ru/
1-С Битрикс24;/store/bitrix/
100 фабрик;/store/100fabrik/
1000 и одна сумка;/store/1000i1sumka/
1001 DRESS;/store/1001dress/
1001 тур;/store/10001-tur/
101 Чай;/store/vlast-idey/
11 Центов;/store/11centov/
123.ru;/store/123-ru/
123RF;/store/123rf/
12GO;/store/12go/
12storeez;/store/12storeez/
1click;/store/1click-ru/
1cloud;/store/1cloud/
1Gb.ru;/store/1gb-ru/
1mmtt;/store/1mmtt/
1PS.ru;/store/1psru/
1С Интерес;/store/1s-interes/
1тв.ру;/store/kino-1tv-ru/
2 Берега;/store/2-berega/
21 Shop;/store/21-shop/
22-10;/store/22-10/
220 Вольт;/store/220volt/
24U;/store/24u/
25:45;/store/25-45/
2Domains;/store/2domains/
2Mood;/store/2moodstore/
2КОМ;/store/2kom/
3-15;/store/3-15/
33 платка;/store/33platka/
34play;/store/34play/
360 Total Security;/store/360totalsecurity/
36best;/store/36best/
3D-Toy;/store/3dtoy/
3Delectronics;/store/3delectronics/
3Fvape;/store/3fvape/
4 Mass;/store/4mass/
4brain;/store/4brain/
4frag;/store/4frag/
4fresh;/store/4fresh/
4g Market;/store/4gmarket/
4ride;/store/4ride/
4точки;/store/4tochki/
5 Карманов;/store/5karmanov/
5 мотков;/store/5motkov/
585 GOLD;/store/585gold/
585 Золотой;/store/585/
5drops;/store/5drops/
5lb;/store/5lb/
69 Level;/store/69level/
6PM;/store/6pm/
7 красок;/store/7krasok/
7 петель;/store/7petel/
7 семян;/store/7semyan/
9a Concept;/store/9aconcept/
A-fitness;/store/olympclubs/
A2B;/store/a2b/
A5.ru;/store/a5-ru/
ABA English;/store/abaenglish/
Abbyy;/store/abbyy/
AbeBooks;/store/abebooks/
Abelflo;/store/abelflo/
Abercrombie & Fitch;/store/abercrombie-fitch/
Abra;/store/abra/
AccorHotels;/store/accorhotels/
Accounting;/store/accounting/
Acoola;/store/acoola/
Acronis;/store/acronis/
ACTION 5;/store/action5/
AdDroid;/store/addroid/
AdGuard;/store/adguard/
Adidas;/store/adidas/
AdminVps;/store/adminvps/
Adobe;/store/adobe/
Adorama;/store/adorama/
AdSpoiler;/store/adspoiler/
Advanced Technology;/store/advanced-technology/
AdvanceTS;/store/advancets/
AdvertApp;/store/advertapp/
AdvMaker;/store/advmaker/
Aerobilet;/store/aerobilet/
Aeropostale;/store/aeropostale/
Age of Kings;/store/ageofkings/
Agent Provocateur;/store/agent-provocateur/
Agoda;/store/agoda/
Aika 2;/store/aika-2/
Aion;/store/aion/
Air Arabia;/store/air-arabia/
Air China;/store/air-china/
Air Gun;/store/air-gun/
AirAsia;/store/airasia/
AirBaltic;/store/airbaltic/
Airbnb;/store/airbnb/
AirFrance;/store/airfrance/
AirHelp;/store/airhelp/
Airo;/store/airo/
Airport Services;/store/airportservices/
Airtickets;/store/airtickets/
Airy;/store/airydress/
AIZEL;/store/aizel/
AJS;/store/ajs/
AkbMag;/store/akbmag-ru/
Alamode;/store/alamode/
Alamy;/store/alamy/
AlboMix;/store/albomix/
Alex Fitness;/store/alex-fitness/
ALEXANDER KONASOV;/store/konasov/
Alibaba;/store/alibaba/
Alibaba Cloud;/store/alibaba-cloud/
Alienbike;/store/alienbike/
Aliexpress;/store/aliexpress/
Alitalia;/store/alitalia/
All bikes;/store/all-bikes/
All my Gods;/store/all-my-gods/
All-Bt;/store/all-bt/
All-readers;/store/all-readers/
AllCables;/store/allcables/
Allfordj;/store/allfordj/
Allrad;/store/allrad/
Allsoft;/store/allsoft/
AllTime;/store/alltime/
Almea;/store/almea/
Almosafer;/store/almosafer/
Aloris;/store/aloris/
AltVPN;/store/alt-vpn/
Alytics;/store/alytics/
AM-PM;/store/ampm/
AmanMarket;/store/amanmarket/
Amazon;/store/amazon-ru/
Ambar Wood;/store/ambar-wood/
AmCandy;/store/amcandy/
American Eagle;/store/americaneagle/
American Tourister;/store/american-tourister/
AmerSport;/store/amersport/
Amgum;/store/amgum/
amoCRM;/store/amocrm/
Amortect;/store/amortect/
Anacondaz;/store/anacondaz/
And So It Was;/store/and-so-it-was/
Andis;/store/andis/
Animoto;/store/animoto/
Ann Taylor;/store/ann-taylor/
Anomaly zone;/store/szone-online/
Ansaligy;/store/ansaligy/
Antplanet;/store/antplanet/
Anveyco;/store/anveyco/
Anvio VR;/store/anviovr/
AnyClass;/store/anysports/
AnywayAnyday;/store/anywayanyday/
Aori;/store/aori/
Apex.ru;/store/apex-ru/
Apitor;/store/apitor/
AppBonus;/store/appbonus/
AppCent;/store/appcent/
AppCoins;/store/appcoins/
Apple iTunes;/store/apple-itunes/
Apple Store;/store/apple-store/
Apple Zone;/store/apple-zone/
AppleAvenue;/store/appleavenue/
